,MP ID,Breed,Gender,Age (years),KIT Pattern,KIT 11,Ki67,AgNOR,AgNOR x Ki67,Slides,Kiupel,Patnaik,Lage,Scanned ,QF,Age (y),Validated,HE- Scanned ,Annotated,Für Kit 11-Gruppe,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
44,MP-21-0001291,?,Mc,12,2.0,pos,20,3.16,63.33,4,High,3.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MP-21-0001088,Flat-Coated Retriever,F,?,3.0,pos,26,5.4,140.4,4,High,2.0,,x,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MP-21-0001084,Springer Spaniel,Fs,8,2.0,pos,27,2.9,78.3,4,Low,2.0,,x,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MP-21-0001055,Rhodesian Ridgeback,Fs,5,1.0,pos,15,1.8,27.3,4,Low,2.0,,x,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MP-21-0001023,?,?,?,2.0,pos,40,2.8,112.2,4,Low,2.0,,x,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,MP-21-0001019 B,Labrador,Mc,10,1.0,pos,15,2.1,31.5,4,Low,2.0,,x,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,MP-21-0000969,Labrador,Mc,?,2.0,pos,34,3,100.5,4,High,3.0,,x,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MP-21-0000895,Mixed,Fs,9,2.0,pos,40,2.8,112.9,4,Low,2.0,,x,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,MP-21-0000490,Shih tzu,Mc,7,2.0,pos,6.4,1.5,9.6,4,High,2.0,,x,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,MP-21-0000400,Mixed,Mc,4,2.0,pos,3,1.7,5.1,4,Low,2.0,,x,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,MP-21-0000379,Yorkshire Terrier,Fs,2,2.0,pos,5.6,1.43,8.03,4,Low,2.0,,x,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,MP-21-0000375,?,?,?,2.0,pos,14,2.3,32.2,4,High,3.0,,x,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,MP-21-0000305,?,?,?,2.0,pos,12,2.67,32.04,4,High,3.0,,x,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,MP-21-0000146,?,?,?,2.0,pos,8.2,2.37,19.43,4,Low,2.0,,x,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
